English,Japanese,
survey,調査,
interview,面接,
exhibition,展示,
conference,会議,
available,利用できる,
annual,年1回の,
equipment,備品／器具,
department,部署,
refund,払い戻す,
receipt,領収書,
schedule,予定, 計画
meeting,会議,
customer,客,
employee,従業員,
actually,実際は,
according to,〜によれば,
change,変える／つり銭,
contact,連絡を取る,
purchase,購入する,
provide,提供する,
building,建物,
probably,おそらく,
delay,遅れ,
opportunity,機会,
agree,賛成する,
invoice,請求書,
appointment,予約／約束,
increase,増加／増える,
piece,作品,
participate in,参加する,
collect,集める,
once,いったん…すると,
currently,現在のところ,
process,過程／処理をする,
problem,問題,
experience,経験,
tour,旅行／見学,
while,〜している間に／…の一方で,
center,中心地／センター,
supervisor,監督者,
suggestion,提案,
coupon,クーポン,
receive,受け取る,
participant,参加者,
note that,ご注意ください,
confirm,確認する,
meet,会う,
reduce,減らす,
concern,心配,
way,方法／道,
special,特別,
prepare,用意する,
renovation,改装,
early,早い,
view,意見／眺め,
return,戻る／返す,
approve,承認する,
budget,予算,
team,チーム,
recently,最近,
shop,買い物をする,
fine,素晴らしい,
home,家,
reservation,予約,
additional,追加の,
medical,医学の,
move,動かす／引っ越す,
resource,資源,
show,見せる,
design,デザイン,
total,全部の,
presentation,プレゼンテーション,
bring,持ってくる／もたらす,
improve,改良する,
several,いくつか,
news,知らせ,
service,サービス／点検する,
through,…を通して,
until,…まで,
passenger,乗客,
produce,農作物／製造する,
allow,許す,
representative,代表者,
check,調べる,
leave,去る,
issue,問題／発行する,
price,価格,
last,続く,
promote,促進する,
hold,保有する,
idea,考え,
industry,産業,
feature,特徴,
replacement,取り替え,
pay,支払う,
update,更新する,
director,担当責任者,
hire,雇う,
floor,階,
course,課程,
museum,博物館,
recommend,推薦する,
great,優れた,
install,取り付ける,
member,メンバー,
size,大きさ,
management,経営／管理,
review,見直し／見直す,
sincerely,敬具,
logo,ロゴ,
revise,改める,
corporate,企業の,
construction,建設／工事,
deadline,締め切り,
sign,標識／署名する,
replace,取って代わる,
find,見つける,
register,記録する,
merchandise,商品,
important,重要な,
open,開ける,
facility,施設,
identification,身分証明書,
instead,その代りに,
before,〜よりも前に,
remember,覚えている,
public,公衆の,
submit,提出する,
vacation,休暇,
guest,客,
award,賞,
discuss,話し合う,
cost,費用／費用がかかる,
wait,待つ,
entrance,入り口,
program,番組,
read,読む,
choose,選ぶ,
however,しかしながら,
free,無料の／自由な,
ticket,入場券,
expand,拡大する,
application,申し込み,
item,項目／品目,
résumé,履歴書,
vehicle,乗り物,
park,公園／駐車する,
council,議会,
book,予約する,
candidate,志願者,
complete,完成させる,
discount,割引,
quality,質,
payment,支払い,
arrange,取り決める／並べる,
different,異なった,
project,プロジェクト,
few,ほとんどない,
after,〜の後で,
subject,表題,
already,既に,
require,必要とする,
due,支払い期限のきた,
consider,よく考える,
ship,船／配送する,
possible,可能な,
local,地元の,
area,地域,
into,…の中に,
delivery,配達,
professional,専門的な,
buy,買う,
carry,運ぶ,
belong,…に付属する,
type,種類／類型,
since,…以来,
colleague,同僚,
request,要請／依頼,
material,材料／原料,
fee,謝礼,
each,それぞれの,
benefit,利益,
furniture,家具,
again,再び,
set,配置する,
during,…の間に,
sorry,すまなく思って,
financial,財政上の,
be interested in,…に興味を持っている,
attend,出席する,
maintenance,整備,
supply,供給する,
welcome,歓迎,
conduct,行う,
report,報告書／報告する,
begin,始める,
whether,…かどうか,
upcoming,まもなくやって来る,
purpose,目的／意図,
research,研究,
large,大きい／広い,
encourage,励ます,
finish,…を終える,
send,送る,
charge,料金／請求する,
decision,決定,
inventory,在庫,
publish,出版する,
think,…と思う,
reception,受付,
display,陳列,
both,両方の,
advance,事前の,
always,常に,
plan,計画,
ready,用意ができた,
visit,訪問する,
document,文書／記録する,
successful,成功した,
class,クラス／種類,
library,図書館,
seminar,研究会,
sell,売る,
close,近い,
expect,予期する,
arrive,到着する,
remove,取り去る,
position,位置,
talk,話す,
describe,説明する,
flight,飛行,
repair,修理する,
training,訓練,
a lot of,たくさんの,
learn,学ぶ／知る,
unfortunately,残念ながら,
people,人々,
cancel,取り消す,
include,含む,
location,場所,
client,顧客,
place,場所／設置する,
travel,行く,
though,けれども／たとえ…しても,
board,役員会,
write,書く,
feedback,フィードバック,
performance,公演,
soon,すぐ後,
per,…につき,
catering,仕出し業,
ensure,確実にする,
estimate,見積もり／見積もる,
potential,潜在的な,
remind,気づかせる,
intend,…するつもりである,
delighted,大いに喜んで,
despite,…にもかかわらず,
specialize in,…を専門に扱う,
complimentary,無料の,
although,…だけれども,
beverage,水以外の飲み物,
honor,名誉／約束などを遵守する,
mayor,市長,
venue,会場,
immediately,ただちに,
sound,…に思われる,
contemporary,現代の,
badge,バッジ,
appliance,(電気の)器具,
assist,助ける,
inspection,視察,
expire,(有効期限が)切れる,
necessary,必要な,
associate,同僚／関連付ける,
paperwork,文書業務,
Excuse me.,すいません,
Let’s,…しよう,
remain,…のままである,
correct,訂正する／正しい,
continue,続ける,
certainly,確かに,
fabric,布地,
patient,患者,
applicant,応募者,
architect,建築家,
attach,添付する,
variety,いろいろの,
anyway,いずれにせよ,
conversation,会話,
forget,忘れる,
shuttle,シャトル便のバス,
appear,…のように見える,
crew,乗組員,
vote,投票,
busy,忙しい,
coworker,仕事仲間,
excellent,非常に優れた,
grocery,食料品店,
save,たくわえる,
cause,原因／引き起こす,
attract,引き寄せる,
launch,開始する,
status,地位／状態,
procedure,手順,
invitation,招待,
lobby,玄関ホール,
realize,よくわかる／実現する,
effort,努力,
mainly,主に,
campaign,キャンペーン,
key,手がかり,
proposal,提案,
greet,挨拶をする,
negotiate,…と交渉する,
quantity,数量,
behind,…の後ろに,
comfortable,快適な,
expensive,値段が高い,
head,長,
appreciate,ありがたく思う,
branch,支店,
investment,投資すること,
deposit,頭金,
difficult,難しい,
temporary,一時の,
protection,保護,
wish,…すればよいのだが,
film,映画,
condition,状態,
device,装置,
personnel,人事部,
professor,教授,
complaint,不満,
multiple,多数の,
exchange,交換する,
manage,どうにかやり遂げる,
favorite,お気に入りの,
quite,とても,
distance,距離,
luggage,手荷物,
admission,入学／入会,
inquire,尋ねる,
ingredient,食材,
technique,テクニック,
attention,注意,
consultant,コンサルタント,
postpone,延期する,
revenue,総収益,
speech,講演,
highly,非常に,
term,学期／専門用語,
agenda,協議事項,
demonstration,実演,
competition,競争,
specific,具体的な,
rather,いくぶん,
impress,感銘を与える,
fact,事実,
signature,署名,
payroll,従業員名簿／賃金台帳,
acknowledge,認める,
win,勝つ／獲得する,
seem,…のように思われる,
trouble,故障／不調,
convention,大会,
task,仕事,
without,…なしで,
reschedule,予定を変更する,
teach,教える,
handle,取り扱う,
distribute,販売する,
suitable,適した,
between,…の間に,
throughout,…の到るところに,
choice,選択,
official,公式の,
region,地域,
notify,知らせる,
exercise,運動／権利を行使する,
brochure,小冊子,
recognize,認識する,
similar,…と似ている,
usual,いつもの,
artwork,芸術作品,
secure,安定した,
lease,賃貸借契約,
excite,わくわくさせる,
damage,損害,
environment,環境／状況,
except,…を除いて,
famous,有名な,
nearly,ほとんど,
renew,再開する,
manual,説明書／手作業の,
exceed,…を超える,
worry,心配する,
mind,気にする,
figure,数／考える,
analysis,分析,
search,検索する,
ability,能力,
ideal,理想的な,
industrial,産業の,
advise,助言する,
hard,難しい,
transfer,移す／転任する,
expo,博覧会,
landscape,景色,
initiative,主導権,
dining,食事をすること,
laboratory,実験室,
traditional,伝統的な,
accommodate,収容する,
title,表題,
further,それ以上に,
vendor,供給メーカー,
specialist,専門家,
raise,上げる／集める,
spend,費やす,
consumer,消費者,
gain,獲得する,
various,さまざまな,
often,たびたび,
convenient,便利な,
wear,…を着ている,
previous,以前の,
fix,修理する,
standard,基準,
solution,解決策,
else,その他に,
understand,理解する,
tier,階層,
together,一緒に,
committee,委員会,
congratulations,祝いの言葉,
extend,延長する,
avoid,避ける,
strategy,戦略,
inform,知らせる,
especially,とりわけ,
mistake,誤り,
commercial,営利的な,
therefore,したがって,
recruit,新入社員／採用する,
topic,話題,
contain,含む,
organization,組織,
responsible,責任を負うべき／原因である,
bill,請求書,
either,いずれか／どちらかの,
prefer,好む,
interior,内側,
involve,含む,
executive,重役,
traffic,交通,
assign,割り当てる,
far from,…から遠くに,
warranty,保証,
seek,捜す,
nearby,近くの,
effective,効果的な,
permit,許可証／許可する,
attempt,試みる,
example,例,
properly,きちんと,
base,基礎／活動の中心を置く,
clear,明快な,
under,…の下に,
response,反響,
surprise,驚かす,
verify,…が正しいと確認する,
better,より良い,
reliable,信頼できる,
neither,どちらも…でない,
subscribe,購読する,
questionnaire,アンケート,
itinerary,旅行計画,
degree,学位,
certificate,証明書,
enclose,同封する,
deal with,処理する,
highlight,目立たせる,
neighborhood,近所,
prior to,…より前に,
significant,重要な,
prescription,処方箋,
eatery,食堂,
be supposed to,…であると思う,
eligible,適任の,
I’m afraid…,申し訳ありませんが…,
broadcast,放送番組／放送する,
definitely,間違いなく,
implement,実行する,
on behalf of,…を代表して,
finally,ようやく,
exclusive,独占的な,
occur,起こる,
predict,予測する,
terminal,発着ロビー,
in the meantime,それまで,
affordable,値段が手頃な,
ceiling,天井,
major,専攻科目／主要な,
directory,名簿,
regularly,定期的に,
otherwise,さもなければ,
depart,出発する,
introduction,導入,
impact,影響,
worth,…に値する,
decrease,減少する,
beyond,…の向こうに,
whenever,…する時はいつでも,
willing,…してもかまわない,
college,大学,
showcase,ガラスケース,
formal,正式の,
adjust,調整する,
relevant,関連のある,
absolutely,絶対に,
district,地域,
maximum,最大量／最大数,
cuisine,料理,
yield,産出する,
approximate,およそ,
clerk,ホテルなどの係,
fund,基金／資金を提供する,
decline,断る／減少する,
autograph,有名人のサイン,
particular,特定の,
uniform,制服,
apologize,謝罪する,
accessible,行きやすい,
instrument,楽器,
photocopy,コピー,
administrative,管理の,
contribute,提供する／貢献する,
digest,要約／情報を消化する,
classic,見事な／定番の,
equally,等しく,
enroll,入学する,
achievement,達成,
in writing,文字で,
donate,寄付する,
decade,10年間,
temperature,温度,
reflect,映す,
owe,借りている,
normally,ふつうは,
audience,聴衆,
practical,実践的な,
hurry,急ぐ,
unique,独特の,
guarantee,保証する,
undergo,経験する,
institute,機関,
hardly,ほとんど…ない,
outstanding,傑出した／未払いの,
aside from,…は別として,
inside,…の中へ,
baggage,手荷物,
method,方法,
in a row,一列に,
profile,プロフィール,
emphasize,強調する,
handbook,入門書,
satisfaction,満足,
defect,傷,
moment,瞬間,
foundation,基礎,
clarify,明らかにする,
auditorium,講堂,
exit,出口,
recipient,受取人,
progress,進歩,
decorate,飾る,
guess,推測する,
unless,…しない限り,
efficiency,能率,
ladder,はしご,
quick,迅速な,
workplace,仕事場,
durable,耐久性のある,
merger,合併,
priority,優先事項,
primary,主要な,
input,知識などの提供,
monitor,モニター,
entire,全体の,
structure,構造,
individual,個人,
finalize,完結させる,
evidence,証拠,
stack,積み重ねる,
qualify,資格を与える,
regulation,規則,
summary,要約,
compact,小型の,
constant,絶え間なく続く,
gather,集める,
shortly,まもなく,
incorporate,組み入れる,
projector,プロジェクター,
panel,パネル,
layout,レイアウト,
fare,運賃,
determine,明らかにする,
accomplishment,達成,
simple,単純な,
aware,気づいている,
tenant,テナント,
pleasure,喜び,
demand,要求／要求する,
blueprint,青写真,
advantage,有利な点,
dental,歯の,
metro,地下鉄,
overhead,頭上の,
waterproof,防水性の,
language,言語,
perfect,完璧な,
above,…の上方に,
luck,幸運,
exactly,正確に／そのとおり,
influence,影響を及ぼす,
urgent,緊急の,
valuable,価値の高い,
assess,評価する,
cashier,レジ係,
dedicate,専念する,
earn,稼ぐ,
from scratch,ゼロから,
a couple of,2つの,
social,社会の,
connect,接続する,
plenty of,たくさん,
overnight,一晩中,
clearance,整理,
onto,…の上へ,
sponsorship,資金援助,
flexible,柔軟な,
automatically,自動的に,
alone,ただ1人で,
nutrition,栄養,
familiar,よく知られた,
patron,顧客,
entry,加入,
broad,広範囲の,
steady,着実な,
transaction,取引,
delicious,とてもおいしい,
checkout,チェックアウト／レジ,
wheelbarrow,手押し車,
explore,探索する,
promise,約束する,
anticipate,…を予期する,
cafeteria,食堂,
society,社会,
anniversary,記念日,
evaluation,評価,
handout,配布資料,
direct,向ける／直接の,
appropriate,適切な,
common,ありふれた,
general,だいたいの,
whole,全体の,
proud,多大な,
compare,比較する,
numerous,多数の,
networking,ネットワークづくり,
acquire,獲得する,
establish,設立する,
overseas,海外の／海外へ,
discover,発見する,
envelope,封筒,
newly,新たに,
expose,さらす,
means,手段,
quarter,四半期,
internship,インターンシップ,
walkway,歩道,
medication,薬剤,
format,フォーマット／構成,
conservation,保護,
below,…より下に,
profit,利益,
volume,容量,
restore,修復する,
satisfy,満足させる,
knowledge,知識,
compliment,ほめ言葉,
oversee,監督する,
judge,審査員／判断する,
retire,退職する,
huge,巨大な,
frequent,頻繁に起こる,
initial,頭文字／最初の,
expert,専門家,
approach,手法／近づく,
refreshment,軽食,
incredible,すばらしい,
furthermore,その上に,
municipal,市政の,
overview,概観,
sufficient,十分な,
refill,(飲み物の)おかわり,
talent,才能,
aspect,局面,
nevertheless,それにもかかわらず,
tuition,授業料,
persuade,説得する,
regardless of,…にかまわず,
comprehensive,包括的な,
eliminate,除去する,
enhance,向上させる,
perhaps,おそらく,
premise,建物,
remark,発言,
scheme,計画,
generate,生み出す,
conclude,結論を下す,
adjacent to,隣接した,
likewise,同様に,
prospect,見通し,
capability,能力,
enormous,巨大な,
checkup,健康診断／点検,
substitute,代用品,
failure,失敗,
massive,巨大な,
enlarge,拡大する,
moderate,適度の,
reject,拒絶する,
interruption,中断,
fluctuate,変動する,
generous,気前の良い,
consecutive,連続した,
intermediate,中級の,
aisle,通路,
deserve,…に値する,
sightseeing,観光,
readability,読みさすさ,
meanwhile,同時に／一方では,
